entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.camera_matrimoniale_temperatura,unavailable,2026-08-01T08:24:38.485Z
sensor.camera_matrimoniale_temperatura_2,24.378929786469442,2026-01-10T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.55101233038611,2026-01-10T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.629262414725,2026-01-10T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.762856954497224,2026-01-10T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.48398008027222,2026-01-10T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.789294721991666,2026-01-10T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.879640854755554,2026-01-10T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.529572197705555,2026-01-10T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.717635410399996,2026-01-11T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.236178906344445,2026-01-11T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.876109819394447,2026-01-11T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.732809576891665,2026-01-11T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.251687774833332,2026-01-11T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.755209470594444,2026-01-11T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.28594592834722,2026-01-11T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.946379171983335,2026-01-11T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.67731242027222,2026-01-11T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.012199600894444,2026-01-11T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.3257992149,2026-01-11T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.392975291836112,2026-01-11T11:00:00.000Z
